Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
12.Rodovia do Aço;Jan-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;44146
12.Rodovia do Aço;Jan-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35771
12.Rodovia do Aço;Feb-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33455
12.Rodovia do Aço;Feb-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27109
12.Rodovia do Aço;Mar-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31677
12.Rodovia do Aço;Mar-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;25667
12.Rodovia do Aço;Apr-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34521
12.Rodovia do Aço;Apr-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27972
12.Rodovia do Aço;May-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34066
12.Rodovia do Aço;May-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27604
12.Rodovia do Aço;Jun-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35095
12.Rodovia do Aço;Jun-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28437
12.Rodovia do Aço;Jul-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;41319
12.Rodovia do Aço;Jul-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33481
12.Rodovia do Aço;Aug-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;36136
12.Rodovia do Aço;Aug-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;29281
12.Rodovia do Aço;Sep-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;37243
12.Rodovia do Aço;Sep-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30178
12.Rodovia do Aço;Oct-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;37518
12.Rodovia do Aço;Oct-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30401
12.Rodovia do Aço;Nov-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35193
12.Rodovia do Aço;Nov-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28517
12.Rodovia do Aço;Dec-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;47553
